time,CPU,memory,cpu_temp,output
2023-07-09 18:46:05.863585,10.4,84.0,29.4,0
2023-07-09 18:46:07.909624,8.9,83.9,29.4,0
2023-07-09 18:46:09.963595,7.7,82.8,29.4,0
2023-07-09 18:46:12.018625,4.3,82.8,29.4,0
2023-07-09 18:46:14.066637,5.5,82.6,29.4,0
2023-07-09 18:46:16.110608,6.6,82.6,29.4,0
2023-07-09 18:46:18.162603,3.8,82.4,29.4,0
2023-07-09 18:46:20.227613,10.0,82.4,29.4,0
2023-07-09 18:46:22.267632,1.5,82.4,29.4,0
2023-07-09 18:46:24.312634,0.4,82.4,29.4,0
2023-07-09 18:46:26.373672,6.2,82.4,29.4,0
2023-07-09 18:46:28.420597,28.7,82.4,29.4,0
2023-07-09 18:46:30.485561,8.6,82.5,29.4,0
2023-07-09 18:46:32.524604,3.1,82.4,29.4,0
2023-07-09 18:46:34.566638,7.8,81.2,29.4,0
2023-07-09 18:46:36.618650,6.2,81.2,29.4,0
2023-07-09 18:46:38.657616,10.9,81.2,29.4,0
2023-07-09 18:46:40.711183,10.3,81.1,29.4,0
2023-07-09 18:46:42.771650,4.2,81.1,29.4,0
2023-07-09 18:46:44.830611,3.9,81.1,29.4,0
2023-07-09 18:46:46.886650,10.3,81.1,29.4,0
2023-07-09 18:46:48.944590,6.2,81.0,29.4,0
2023-07-09 18:46:50.978021,5.8,81.0,29.4,0
2023-07-09 18:46:53.045599,5.1,81.0,29.4,0
2023-07-09 18:46:55.080119,8.1,81.0,29.4,0
2023-07-09 18:46:57.134493,9.2,80.9,29.4,0
2023-07-09 18:46:59.176319,13.4,81.0,29.4,0
2023-07-09 18:47:01.225638,13.3,81.2,29.4,0
2023-07-09 18:47:03.273642,14.1,81.2,29.4,0
2023-07-09 18:47:05.335281,15.6,81.2,29.4,0
2023-07-09 18:47:07.391347,15.2,81.2,29.4,0
2023-07-09 18:47:09.460566,32.6,81.2,29.4,0
2023-07-09 18:47:11.510175,90.1,84.3,29.4,0
2023-07-09 18:47:13.542339,22.1,84.7,29.4,0
2023-07-09 18:47:15.573511,4.6,84.5,29.4,0
2023-07-09 18:47:17.606578,5.5,84.2,29.4,0
2023-07-09 18:47:19.636654,1.9,81.7,29.4,0
2023-07-09 18:47:21.676629,5.1,80.1,29.4,0
2023-07-09 18:47:23.713334,5.4,80.0,29.4,0
2023-07-09 18:47:25.754920,6.9,80.0,29.4,0
2023-07-09 18:47:27.798655,2.0,80.0,29.4,0
2023-07-09 18:47:29.829631,2.0,80.0,29.4,0
2023-07-09 18:47:31.853393,59.2,80.6,29.4,0
2023-07-09 18:47:33.888116,7.4,80.5,29.4,0
2023-07-09 18:47:35.913658,1.2,80.6,29.4,0
2023-07-09 18:47:37.957201,7.3,80.5,29.4,0
2023-07-09 18:47:40.010635,3.8,80.4,29.4,0
2023-07-09 18:47:42.046627,5.9,80.5,29.4,0
2023-07-09 18:47:44.086621,6.2,80.5,29.4,0
2023-07-09 18:47:46.122697,3.1,80.5,29.4,0
2023-07-09 18:47:48.162910,14.8,80.4,29.4,0
2023-07-09 18:47:50.195474,31.2,80.6,29.4,0
2023-07-09 18:47:52.234366,25.4,80.4,29.4,0
2023-07-09 18:47:54.261498,28.8,80.0,29.4,0
2023-07-09 18:47:56.292327,24.5,80.1,29.4,0
2023-07-09 18:47:58.321974,23.8,80.2,29.4,0
2023-07-09 18:48:00.352250,23.1,80.6,29.4,0
2023-07-09 18:48:02.385615,25.7,80.1,29.4,0
2023-07-09 18:48:04.414011,27.3,80.4,29.4,0
2023-07-09 18:48:06.444440,27.0,80.4,29.4,0
2023-07-09 18:48:08.468998,27.0,80.2,29.4,0
2023-07-09 18:48:10.503393,26.2,80.1,29.4,0
2023-07-09 18:48:12.535464,29.3,79.9,29.4,0
2023-07-09 18:48:14.570107,26.5,79.9,29.4,0
2023-07-09 18:48:16.604257,4.2,80.1,29.4,0
2023-07-09 18:48:18.644654,3.1,80.1,29.4,0
2023-07-09 18:48:20.670689,2.3,80.1,29.4,0
2023-07-09 18:48:22.697238,0.0,80.1,29.4,0
2023-07-09 18:48:24.732673,1.2,80.0,29.4,0
2023-07-09 18:48:26.762186,1.2,80.0,29.4,0
2023-07-09 18:48:28.788735,1.2,80.0,29.4,0
2023-07-09 18:48:30.821195,1.5,80.0,29.4,0
2023-07-09 18:48:32.857666,2.3,80.0,29.4,0
2023-07-09 18:48:34.894596,3.1,80.0,29.4,0
2023-07-09 18:48:36.930665,6.5,80.0,29.4,0
2023-07-09 18:48:38.960338,34.0,77.6,29.4,0
2023-07-09 18:48:40.995615,1.5,75.7,29.4,0
2023-07-09 18:48:43.029225,1.2,75.7,29.4,0
2023-07-09 18:48:45.062269,3.5,75.8,29.4,0
2023-07-09 18:48:47.109756,3.5,75.9,29.4,0
2023-07-09 18:48:49.147402,0.8,75.9,29.4,0
2023-07-09 18:48:51.186663,1.2,75.9,29.4,0
2023-07-09 18:48:53.224696,2.7,75.9,29.4,0
2023-07-09 18:48:55.261688,3.8,75.9,29.4,0
2023-07-09 18:48:57.303271,3.8,75.9,29.4,0
2023-07-09 18:48:59.343650,3.5,75.9,29.4,0
2023-07-09 18:49:01.384697,0.8,75.7,29.4,0
2023-07-09 18:49:03.426658,3.1,75.6,29.4,0
2023-07-09 18:49:05.471615,3.9,75.7,29.4,0
2023-07-09 18:49:07.533642,4.3,75.7,29.4,0
2023-07-09 18:49:09.583594,1.2,75.7,29.4,0
2023-07-09 18:49:11.640761,1.6,75.7,29.4,0
2023-07-09 18:49:13.696026,4.6,75.7,29.4,0
2023-07-09 18:49:15.742262,3.8,75.7,29.4,0
2023-07-09 18:49:17.798622,4.7,75.7,29.4,0
2023-07-09 18:49:19.860633,0.8,75.7,29.4,0
2023-07-09 18:49:21.913447,2.0,75.7,29.4,0
2023-07-09 18:49:23.961690,3.5,75.7,29.4,0
2023-07-09 18:49:26.019243,3.8,75.7,29.4,0
2023-07-09 18:49:28.082595,3.1,75.7,29.4,0
2023-07-09 18:49:30.143223,0.8,75.8,29.4,0
2023-07-09 18:49:32.191607,4.3,75.7,29.4,0
2023-07-09 18:49:34.249761,4.3,75.4,29.4,0
2023-07-09 18:49:36.313936,3.1,75.5,29.4,0
2023-07-09 18:49:38.366444,1.9,75.5,29.4,0
2023-07-09 18:49:40.415616,0.0,75.4,29.4,0
2023-07-09 18:49:42.455683,4.3,75.4,29.4,0
2023-07-09 18:49:44.496685,7.4,75.3,29.4,0
2023-07-09 18:49:46.545632,2.3,75.4,29.4,0
2023-07-09 18:49:48.589611,1.1,75.4,29.4,0
2023-07-09 18:49:50.638311,4.3,75.4,29.4,0
2023-07-09 18:49:52.698269,4.3,75.4,29.4,0
2023-07-09 18:49:54.724655,3.1,75.4,29.4,0
2023-07-09 18:49:56.777627,1.9,75.4,29.4,0
2023-07-09 18:49:58.838595,3.9,75.8,29.4,0
2023-07-09 18:50:00.872966,3.8,75.8,29.4,0
2023-07-09 18:50:02.928247,3.1,75.9,29.4,0
2023-07-09 18:50:04.973603,1.9,75.8,29.4,0
2023-07-09 18:50:07.052253,3.1,75.8,29.4,0
2023-07-09 18:50:09.104364,3.5,75.8,29.4,0
2023-07-09 18:50:11.157585,6.2,75.8,29.5,0
2023-07-09 18:50:13.208471,2.7,75.8,29.5,0
2023-07-09 18:50:15.258623,1.9,75.4,29.5,0
2023-07-09 18:50:17.303650,1.2,75.4,29.5,0
2023-07-09 18:50:19.353598,3.1,75.4,29.5,0
2023-07-09 18:50:21.408420,2.7,75.4,29.5,0
2023-07-09 18:50:23.471642,0.0,75.4,29.5,0
2023-07-09 18:50:25.512727,2.7,75.4,29.5,0
2023-07-09 18:50:27.562610,3.1,75.4,29.5,0
2023-07-09 18:50:29.597374,5.5,75.4,29.5,0
2023-07-09 18:50:31.641540,10.8,75.3,29.5,0
2023-07-09 18:50:33.686632,3.5,75.3,29.5,0
2023-07-09 18:50:35.729644,1.2,75.3,29.5,0
2023-07-09 18:50:37.772624,4.2,75.3,29.5,0
2023-07-09 18:50:39.826616,2.3,75.3,29.5,0
2023-07-09 18:50:41.857060,2.0,75.3,29.5,0
2023-07-09 18:50:43.882565,1.2,75.3,29.6,0
